State,Year,Hwy_exp,Hcm_exp ,Pw_exp,Ed_exp,Disasters
Alabama,2012,951651,15126,7692033,4600954,2
Alabama,2013,977342,16329,7697247,4977347,0
Alabama,2014,1058602,17124,7823807,4706215,1
Alabama,2015,827758,28224,8101073,4863337,0
Alabama,2016,777419,29057,8360484,4881370,1
Alabama,2017,792071,37516,6958296,5111951,3
Alabama,2018,1606033,40192,6711293,5515678,3
Alabama,2019,1387759,42708,7137135,5673352,2
Alabama,2020,1153775,38938,7768683,5609750,6
Alabama,2021,925510,37484,7960823,6027554,2
Alabama,2022,1266049,37410,8674040,6501274,0
Alaska,2012,396228,162665,1940864,879398,2
Alaska,2013,592321,164136,1994505,969540,0
Alaska,2014,762425,205897,2025448,913832,2
Alaska,2015,792549,156297,2008427,848182,3
Alaska,2016,899986,163558,2230739,1075371,1
Alaska,2017,899986,123337,2566994,828294,1
Alaska,2018,711226,99130,2673911,782491,3
Alaska,2019,767574,107656,2740899,728511,4
Alaska,2020,608948,101914,2703997,613483,0
Alaska,2021,724483,141308,2644295,618589,1
Alaska,2022,702933,191973,3085844,687908,7
Arizona,2012,1021042,88397,7934285,3434172,0
Arizona,2013,846523,77350,8215971,3631654,3
Arizona,2014,790800,75999,8796429,3749539,2
Arizona,2015,786634,74124,10001800,4204818,2
Arizona,2016,1054975,73009,12822459,4692972,1
Arizona,2017,996308,81283,14287614,4845788,3
Arizona,2018,1106242,75964,15009730,5156509,4
Arizona,2019,1375627,79606,15756222,5244780,2
Arizona,2020,1084251,91531,17130394,5594818,7
Arizona,2021,857953,101856,20731619,5653890,4
Arizona,2022,907115,132888,25052506,5951226,5
Arkansas,2012,794019,25868,5062850,2642831,0
Arkansas,2013,1211878,12666,5094028,2607159,2
Arkansas,2014,1383802,13759,5561340,2639380,1
Arkansas,2015,853322,17704,6572760,2561814,1
Arkansas,2016,927320,14421,6898386,2711408,2
Arkansas,2017,1225591,16406,7415911,2634939,1
Arkansas,2018,1200279,13528,6805973,2840381,0
Arkansas,2019,919783,14358,7752884,2835173,3
Arkansas,2020,1025919,17385,7353581,2770945,0
Arkansas,2021,1322702,18995,7912728,2915262,0
Arkansas,2022,1400824,19662,9491215,2999950,0
California,2012,3993916,262251,44031812,25536594,3
California,2013,3150281,188238,51826262,25062006,9
California,2014,4532694,247466,57576561,25998869,17
California,2015,3065850,265032,85124820,26815661,7
California,2016,2212144,204930,95056513,28559363,13
California,2017,1865537,285660,93597994,29562451,30
California,2018,4578573,256867,102893286,31359382,17
California,2019,4513968,223575,115615159,37464133,16
California,2020,5166858,210091,115221411,40590287,21
California,2021,5574533,199905,129112022,38154938,11
California,2022,5487338,216819,143239737,46634022,5
Colorado,2012,820594,109350,4661182,4467064,6
Colorado,2013,889930,91975,5005756,4533168,8
Colorado,2014,1010752,98210,5856213,4902994,0
Colorado,2015,924589,117508,7089744,5193247,1
Colorado,2016,1130916,174250,7761236,5792036,3
Colorado,2017,959208,193963,7618103,6177964,0
Colorado,2018,1108022,202435,8953881,6370467,3
